,0
3185,startseq  small girl riding on yellow plastic toy car endseq
3186,startseq  three dark haired little girls running across field endseq
3187,startseq  man in an orange shirt flips his skateboard on suburban street endseq
3188,startseq  boy is hanging upside down from tire swing endseq
3189,startseq  girl in pink bicycle rides in front of restaraunt endseq
3190,startseq  four girls play volleyball endseq
3191,startseq  man holding the hand of another man who has tattoo on his arm endseq
3192,startseq  two dobermans fighting or playing together on lawn endseq
3193,startseq  golden haired dog walking through shallow water endseq
3194,startseq  girl is blue and purple dress is hanging on railing near street while holding candy endseq
3195,startseq  three little children in grassy yard running towards the camera endseq
3196,startseq  dog swimming along the ocean with bark in its mouth endseq
3197,startseq  football player in mid stride holding football endseq
3198,startseq  white dog is leaping into swimming pool endseq
3199,startseq  four boys are playing at playground endseq
3200,startseq  an elderly person in bright orange overalls is standing alongside street endseq
3201,startseq  hockey player in black and white collides with another player wearing blue endseq
3202,startseq  football player being tackled during game endseq
3203,startseq  man in blue shirt is rock climbing endseq
3204,startseq  man in blue shorts leaps from cliff into lake endseq
3205,startseq  man on bicycle rides on mountain endseq
3206,startseq  child wearing pink boots is splashing in puddle behind the red truck endseq
3207,startseq  boy in shorts kicks while standing in shallow water endseq
3208,startseq  group of men play soccer endseq
3209,startseq  dog in training to become seeingeye dog endseq
3210,startseq  black and brown dogs pulling red leash endseq
3211,startseq  large brown dog and small black dog stand near each other on dirt patch surrounding by grass and weeds endseq
3212,startseq  boy bouncing on trampoline endseq
3213,startseq  black and white dog is playing with sheep in field endseq
3214,startseq  girl wearing pink bounces on bed endseq
3215,startseq  blue motorcycle is being driven on racetrack endseq
3216,startseq  monkey is jumping towards another monkey on smooth rock endseq
3217,startseq  rollerblader is in midair on ramp endseq
3218,startseq  motocross rider is on dirt hill endseq
3219,startseq  empty seats at stadium except for two people in green rain ponchos endseq
3220,startseq  football fan showing his devotion by painting his face endseq
3221,startseq  boy in jeans and black shirt skating down stair rail endseq
3222,startseq  man and woman with three bikes and silver car endseq
3223,startseq  young boy and toddler play in fountain in front of building endseq
3224,startseq  group of people are gathered on white pillared porch for photo endseq
3225,startseq  girl does back bend on the beach endseq
3226,startseq  cute puppy fetches yellow ring chew toy in the yard endseq
3227,startseq  boy wearing sunglasses on his head looks at the camera endseq
3228,startseq  dog chases ball that has dropped in the water endseq
3229,startseq  children playing in fountain endseq
3230,startseq  smiling young woman in tourquoise shirt and bandanna poses at table outdoors endseq
3231,startseq  couple acting like they are swimming in front of fish cutout door endseq
3232,startseq  two climbers are sitting on top of mountain attached to ropes endseq
3233,startseq  black and white dog runs towards the camera endseq
3234,startseq  man pokes his head out of the red tent in the snow endseq
3235,startseq  child in black shirt reaches for white kitchen stove endseq
3236,startseq  cyclist is performing jump by some trees endseq
3237,startseq  one child running net through bucket of water and another child filling bucket endseq
3238,startseq  boy performing tricks on brick wall with skateboard endseq
3239,startseq  one boy follows another at the park endseq
3240,startseq  biker rides motorcycle on racetrack endseq
3241,startseq  black dog is looking at the tabby cat that is sitting by the window endseq
3242,startseq  girl in blue uniform raises her arm endseq
3243,startseq  black dog bites white dog on the grass endseq
3244,startseq  dark haired boy and dark haired girl stand on the grass endseq
3245,startseq  man swings his racket at tennis ball endseq
3246,startseq  man is sitting on the sidewalk by tree endseq
3247,startseq  homeless man stands in the street with black dog endseq
3248,startseq  two beach volleyball players walk and talk together on the sand endseq
3249,startseq  girl in white shirt poses and smiles as someone holds up peace sign behind her endseq
3250,startseq  girl swinging endseq
3251,startseq  dog comes out of blue baby pool with ball in his mouth endseq
3252,startseq  man dressed like rockstar poses in front of brick wall endseq
3253,startseq  there is man and boy both standing on one leg with at least one arm sticking out endseq
3254,startseq  dog in swimming pool and another dog on the edge of the pool endseq
3255,startseq  puppy sniffs human foot that is resting on his face endseq
3256,startseq  large elderly woman in green stripy dress is carrying shopping bags along cobbled street endseq
3257,startseq  boy and two men shooting off water rocket at the beach endseq
3258,startseq  black and grey dog is playing with blue ball outside endseq
3259,startseq  boy in blue shirt and white helmet is riding white bike endseq
3260,startseq  small girl chases pink ball over the gravel driveway endseq
3261,startseq  black brown and white dog is running beside green fence in grassy garden endseq
3262,startseq  man in an orange jacket raising his hands to the sky in the sand endseq
3263,startseq  two asian children smile while hugging each other endseq
3264,startseq  boy jumps skateboard while man in suit looks on endseq
3265,startseq  woman sitting at sewing machine looks up endseq
3266,startseq  there are two large dogs running about in field endseq
3267,startseq  man is parallel in the air trying to kick the soccer ball past the goalie endseq
3268,startseq  brown dog splashes in the water endseq
3269,startseq  guy doing wallride on his bike endseq
3270,startseq  boy is standing on the stairs with his arms folded endseq
3271,startseq  boy does trick on skateboard endseq
3272,startseq  man jumps off rock into the water endseq
3273,startseq  boy does skateboard trick in the courtyard of european city endseq
3274,startseq  child holding onto handles sliding across rope endseq
3275,startseq  climber approaches the top of cliff high above the surrounding terrain endseq
3276,startseq  couple with small child is standing on busy street endseq
3277,startseq  brindle pitbull holds dirt bike tire in its mouth endseq
3278,startseq  brown dog and black and white dog are running over grassy hills endseq
3279,startseq  firemen are battling fire endseq
3280,startseq  boy in blue shirt is doing back flip in the air endseq
3281,startseq  group of women are all wearing orange bikina tops and orange saroog skirts endseq
3282,startseq  group of workers are posing for picture endseq
3283,startseq  man on motorized bike rides across dirt road endseq
3284,startseq  man and woman in front of train endseq
3285,startseq  boy skateboards on cement wall endseq
3286,startseq  bicycler is riding bike at racing event endseq
3287,startseq  little blonde girl going up hill endseq
3288,startseq  boy in swimsuit is playing in gushing water endseq
3289,startseq  boy on surfboard in midair endseq
3290,startseq  black and white dog with frisbee in his mouth on his hind legs endseq
3291,startseq  black dog is running along the beach beside brown dog in midair catching stick in its mouth endseq
3292,startseq  four people in helmets racing on skateboards endseq
3293,startseq  blue motorcycle is jumping over some colored barrels endseq
3294,startseq  guy jumps high on his skateboard endseq
3295,startseq  football player carries the ball during game endseq
3296,startseq  woman is running along the side of road casting her shadow on concrete wall endseq
3297,startseq  holder and kicker for football team dressed in orange white and black play while onlookers behind them watch endseq
3298,startseq  child with pink hat and white and pink shirt standing in grass endseq
3299,startseq  kayaker crashes against the force of the wave endseq
3300,startseq  two elderly women can be seen from car talking next to wall endseq
3301,startseq  one dog baring teeth at two other dogs running on the sand endseq
3302,startseq  closeup of woman with short red hair endseq
3303,startseq  kayaker battles the rapids endseq
3304,startseq  black haired girl is eating corn on the cob endseq
3305,startseq  guy on rollerblades sliding across rail endseq
3306,startseq  group of motocross racers lined up to start endseq
3307,startseq  girl laughs while playing outside endseq
3308,startseq  black and white dog is catching frisbee endseq
3309,startseq  dog and his trainer at challenge endseq
3310,startseq  one football player wearing an orange jersey and one wearing white jersey are set at the starting line endseq
3311,startseq  man wearing black cap and black leather coat is sitting and reading book endseq
3312,startseq  man is skateboarding up ramp endseq
3313,startseq  girl in bikini glasses and black hat laying on white towel on the beach endseq
3314,startseq  child in blue shirt jumping off bench endseq
3315,startseq  blond girl in shorts sits on the top of monkey bars endseq
3316,startseq  man wearing black pants rides along concrete ledge on rollerblades endseq
3317,startseq  baby reaching into water fountain endseq
3318,startseq  motorcycle racers take sharp turn endseq
3319,startseq  two boys and dog playing catch in the water endseq
3320,startseq  man is wakeboarding behind boat endseq
3321,startseq  man in blue shirt looking to his right endseq
3322,startseq  black and white dog with spotted face is running through dirt field endseq
3323,startseq  body of water at sunset endseq
3324,startseq  child plays on the floor endseq
3325,startseq  lone surfboarder on white surfboard flying through the air over wave endseq
3326,startseq  dirt biker leaps through the air endseq
3327,startseq  two dogs are peeing at red fire hydrant endseq
3328,startseq  bald headed man in black balances his skateboard on cement wall and his shadow follows endseq
3329,startseq  boy performs trick on his skateboard on rail endseq
3330,startseq  greyhound wearing yellow jacket runs race endseq
3331,startseq  little baby plays croquet endseq
3332,startseq  little boy drinks water from fountain while another little boy watches and makes face endseq
3333,startseq  prarie dogs that are spotted with brown black and white endseq
3334,startseq  child leaping toward red bed endseq
3335,startseq  couple of smiling little boys ride together in plastic chairswing one on the other lap endseq
3336,startseq  lone bicyclist jumping in the air over ramp endseq
3337,startseq  airplane controller is outside white airplane endseq
3338,startseq  group of men hold drum over their heads with man standing on it endseq
3339,startseq  woman in red and white and wearing glasses sits in room with other people endseq
3340,startseq  four kayakers and canoers near rock wall endseq
3341,startseq  biker jumping extremely high endseq
3342,startseq  boy is skateboarding in skateboard park endseq
3343,startseq  two blond dogs fight in living room endseq
3344,startseq  little girl in yellow dress and pink boots running down the street endseq
3345,startseq  girl in yellow dress jump ropes endseq
3346,startseq  guy is pointing with girl sitting beside him endseq
3347,startseq  dog staring at the end of an ice cream cone endseq
3348,startseq  bicycle stunt jump is being perforced in city endseq
3349,startseq  female in blue jeans sitting with luggage against wall endseq
3350,startseq  girl in field with yellow scarf endseq
3351,startseq  guy rowing yellow canoe down river endseq
3352,startseq  couple are walking along street while the man carries toddler over one shoulder endseq
3353,startseq  man doing skate trick on metal railing endseq
3354,startseq  group of kids float in the middle of pond endseq
3355,startseq  man and child going down water slide endseq
3356,startseq  biker does trick on ramp endseq
3357,startseq  boy jumping ridding skateboard wearing blue jeans and red tshirt with building in the background with many windows endseq
3358,startseq  boy getting shower endseq
3359,startseq  bike racer hold up hand while riding motorcycle endseq
3360,startseq  brown and white dog bares his teeth and grabs the head of another brown and white dog endseq
3361,startseq  an asian woman holding fan watches traffic go by endseq
3362,startseq  black dog and black and white dog are running in dirt endseq
3363,startseq  boy in green uniform is kicking soccer ball in game while two others stand behind him endseq
3364,startseq  dog and man wade into the lake endseq
3365,startseq  race cars muffler catches on fire endseq
3366,startseq  darkskinned man is jumping in the air during sports game endseq
3367,startseq  man hangs onto something as he is being pulled through the water endseq
3368,startseq  guy performing bicycle jump trick for an audience endseq
3369,startseq  people playing basketball ball in air endseq
3370,startseq  crowd of people in orange vests looks on as fireball rises into the sky at an airport endseq
3371,startseq  little boy leans over bridge while someone holds onto him endseq
3372,startseq  colourfully dressed and painted woman working hula hoop in crowd endseq
3373,startseq  boy chases after bird on pier endseq
3374,startseq  guy in red jumping endseq
3375,startseq  male rollerblader wearing green shirt and hat grinding down green rail endseq
3376,startseq  person doing the backstroke in swimming pool endseq
3377,startseq  man in yellow and yellow shirt puts his arm around man in blue shirt endseq
3378,startseq  cyclist wearing blue and yellow riding past trees endseq
3379,startseq  brown and white dog carries brown and white dish towel in his mouth endseq
3380,startseq  closeup of man riding his bicycle through the forest endseq
3381,startseq  greyhound dog running in race with identifier number six endseq
3382,startseq  boy rides his skateboard across pipe on building endseq
3383,startseq  man sits in an airplane seat holding young girl in his arms surrounded by other passengers endseq
3384,startseq  man riding three wheeled vehicle topples over endseq
3385,startseq  dog wearing the number four runs in race endseq
3386,startseq  bunch of football players on top of each other endseq
3387,startseq  man is on sailboard with green and clear sail in the middle of the ocean endseq
3388,startseq  man on bicycle in the city endseq
3389,startseq  team of girl soccer players are running down the field chasing the ball endseq
3390,startseq  small black dog biting ladies two fingers on beige couch endseq
3391,startseq  man is flying down flight of stairs on his skateboard endseq
3392,startseq  dog leaps in the air to catch disc endseq
3393,startseq  female walking through grass endseq
3394,startseq  young couple lying in bed endseq
3395,startseq  brown horse with rider sitting on him is jumping over blue barrier endseq
3396,startseq  brown and white dog is running through white marker in grassy field endseq
3397,startseq  football player is running with the ball endseq
3398,startseq  small dog carries yellow ball through the grass endseq
3399,startseq  dirt biker turns across the dirt endseq
3400,startseq  dog wearing the number leads in dog race endseq
3401,startseq  brown dog bolts towards the camera with his tongue out and mouth open endseq
3402,startseq  two girls dressed in blue with crowd in the background endseq
3403,startseq  man in light blue cap smiles endseq
3404,startseq  group of young women in skimpy red and black uniforms shows off black markings on their legs endseq
3405,startseq  female hiker is looking at the view of some mountains endseq
3406,startseq  minivan drives through deep puddle of water on the road endseq
3407,startseq  boy in denim jacket is smiling endseq
3408,startseq  two girls wait on the street while wearing tight barely there clothing endseq
3409,startseq  brown dog up to its neck in water endseq
3410,startseq  group of basketball players wearing yellow and green reach for ball endseq
3411,startseq  skier in yellow jacket is airborne above the mountains endseq
3412,startseq  man in black coat and hat sits by an old building endseq
3413,startseq  man holds stick up for dog to catch while another dog looks on at the beach endseq
3414,startseq  boy in green soccer outfit hangs from machine endseq
3415,startseq  congregation of people are worshipping outside of temple endseq
3416,startseq  white dog with brown markings chases an orange ball in grassy field endseq
3417,startseq  man is leaning on skateboard while holding onto pole endseq
3418,startseq  little girl in blue shirt is pointing at the water on the beach endseq
3419,startseq  man rides motorcycle on track endseq
3420,startseq  boy pushes wagon full of pumpkins endseq
3421,startseq  man in blue and black surfs on huge white wave endseq
3422,startseq  man has pink ribbon around his arm endseq
3423,startseq  man surfing small wave and another man on surfboard paddling toward it endseq
3424,startseq  boy squirts squirt gun endseq
3425,startseq  dressed up woman is holding up soda while having conversation endseq
3426,startseq  darkhaired greysuited man is leaning on silver pole endseq
3427,startseq  boy in red hat admires barely dressed woman endseq
3428,startseq  silhouette of one dog chasing another dog endseq
3429,startseq  boy is posing next to his scooter endseq
3430,startseq  two boys splashing each other in the ocean endseq
3431,startseq  bicyclist is performing midair stunt endseq
3432,startseq  man doing wheelie on motorcycle endseq
3433,startseq  the brown dogs are playing with blue toy together endseq
3434,startseq  football player wearing an orange jersey holding football endseq
3435,startseq  football players wearing orange uniforms are tackling player in white uniform endseq
3436,startseq  two black dogs each with running on the beach with balls in their mouths endseq
3437,startseq  black dog is jumping through some water while holding stick in his mouth endseq
3438,startseq  group of downhill skateboards going down hill endseq
3439,startseq  blond dog runs in the ocean surf endseq
3440,startseq  biker rides on dirt road endseq
3441,startseq  boxer is being examined in his corner by member of his support team endseq
3442,startseq  boy in red shirt and jean shorts jumping off swing endseq
3443,startseq  black dog running on grass endseq
3444,startseq  big black dog with red collar runs in the water endseq
3445,startseq  man and boy standing in front of sign that says hell endseq
3446,startseq  mother sits with three children as they eat ice cream endseq
3447,startseq  man loses control of his watercraft endseq
3448,startseq  black and white dog is running between yellow poles endseq
3449,startseq  dog runs through the grass endseq
3450,startseq  greyhound dog is wearing red jersey with the number one on it and is mid run endseq
3451,startseq  child plays soccer endseq
3452,startseq  people ride on the back of vehicle endseq
3453,startseq  bunch of children in white are doing dance routine while another person jumps rope endseq
3454,startseq  person is on ramp on skateboard endseq
3455,startseq  guy on waterskiing board is doing stunt endseq
3456,startseq  person is standing near row of identical red and white bicycles endseq
3457,startseq  an elderly man sitting on bench endseq
3458,startseq  large dog sniffing smaller dog outside endseq
3459,startseq  girl in hoodie and bikini bottom is standing on the beach with camera endseq
3460,startseq  pale colored dog runs through body of water endseq
3461,startseq  brown dog is jumping over fence and another dog is chasing it endseq
3462,startseq  dog jumps over fence while two other dogs watch endseq
3463,startseq  man in red uniform jumps towards soccer ball endseq
3464,startseq  cyclist is laying on his motorbike while in the air endseq
3465,startseq  mountain biker wearing black helmet and shirt in motion endseq
3466,startseq  football player runs with the ball chased by members of the opposing team endseq
3467,startseq  football player catching the football endseq
3468,startseq  football running back getting tackled endseq
3469,startseq  male bike rider wearing helmet is on his bike and pointing at the camera endseq
3470,startseq  disabled athlete is competing with his sponsored gear along street lined with spectators endseq
3471,startseq  man in light blue sweatshirt walks down dirt path endseq
3472,startseq  child bouncing in play and bounce endseq
3473,startseq  brown and white dog is running with yellow frisbee endseq
3474,startseq  blue buggy is driving across the sand dunes endseq
3475,startseq  two children are on fairground ride endseq
3476,startseq  black mitsubishi is driving through muddy puddle and spraying water endseq
3477,startseq  business man is reading on subway endseq
3478,startseq  dirt biker stands in the sunset endseq
3479,startseq  black and white motorcycle is being ridden around racetrack endseq
3480,startseq  brown and white dog is jumping on the couch next to someone with blue slippers endseq
3481,startseq  bmx biker flies in the air off of ramp endseq
3482,startseq  man asleep on yellow striped bench with his feet on baggage cart endseq
3483,startseq  man going skating down slide while two kids look on endseq
3484,startseq  black dog leaps for ball held by man endseq
3485,startseq  girl in blue and white uniform tags someone in black and red uniform endseq
3486,startseq  dog is jumping in the air trying to catch red frisbee endseq
3487,startseq  people with white hats looking over the mountain endseq
3488,startseq  dog rounds corner with his tail up after exiting yellow and orange tube endseq
3489,startseq  closeup of white bunny endseq
3490,startseq  group of little boys play football in uniforms endseq
3491,startseq  man in green shirt and cap puts his hands on table as he stands next to man wearing headphones around his neck endseq
3492,startseq  man in blue shirt is running in stadium field endseq
3493,startseq  boy holding ball falls down in front of another boy who has his arms reaching out while an older man in green shirt smiles and watches endseq
3494,startseq  man surfing on big green wave endseq
3495,startseq  brown dog is chewing on white rug whilst standing on red carpet next to checkered floor endseq
3496,startseq  three brown dogs on the patchy grass endseq
3497,startseq  football game is played endseq
3498,startseq  two children in swimsuits stand talking in lake in the woods endseq
3499,startseq  bmx biker performing wallride on ramp endseq
3500,startseq  bald person in green clothing stands in front of brick wall endseq
3501,startseq  breakdancer is standing on one hand with look of excitement endseq
3502,startseq  man is climbing the mountain endseq
3503,startseq  boy and girl in swimwear and arm floaters endseq
3504,startseq  jockey on black horse jumps over hurdle endseq
3505,startseq  man floating in the ocean endseq
3506,startseq  female tennis player swings for the ball endseq
3507,startseq  two black dogs running down either side of paved pathway endseq
3508,startseq  man in suit waits for the subway endseq
3509,startseq  black and tan dog rolls on his back in field endseq
3510,startseq  black dog with blue tag running on beach endseq
3511,startseq  huge brown dog is about to attack medium sized fluffy dog endseq
3512,startseq  boy is walking on floor covered in graffiti endseq
3513,startseq  couple of rugby players jumping in the air to get the ball endseq
3514,startseq  group of men struggle to catch the ball in the air endseq
3515,startseq  car with white smoke trailing behind it on black topped surface endseq
3516,startseq  closeup of girl with curly black hair smiling endseq
3517,startseq  black car on the street behind wire mesh endseq
3518,startseq  dogs playing in the yard endseq
3519,startseq  bicycle gets airborne endseq
3520,startseq  black and cream dog run through field in front of blue house endseq
3521,startseq  boy and woman sitting on passenger train endseq
3522,startseq  girl is riding horseback endseq
3523,startseq  man dives headfirst into the water endseq
3524,startseq  the men are playing soccer while people in the stands watch endseq
3525,startseq  group of hockey players slide along the ice during game endseq
3526,startseq  blond woman is throwing stick for her orange dog who is leaping to get it endseq
3527,startseq  boy running in park filled with pigeons watched by his father in the background endseq
3528,startseq  men on horses in the rodeo try to rope in bull endseq
3529,startseq  man in white shirt and blue shorts and man in red shirt and white shorts playing soccer endseq
3530,startseq  little girl slides down green slide with her arms up at playground endseq
3531,startseq  biker jumps an obstacle endseq
3532,startseq  tan dog plays with white dog in baby pool endseq
3533,startseq  dog runs through field endseq
3534,startseq  group of men play croquet endseq
3535,startseq  child in red shirt is sitting against wall with map while eating endseq
3536,startseq  man inside of white subway train endseq
3537,startseq  dog playing in the ocean on the beach endseq
3538,startseq  boy in white tshirt does skateboard tricks endseq
3539,startseq  brown number six race dog is slightly behind black race dog on track endseq
3540,startseq  biker patiently waits as his friend bikes ahead of him endseq
3541,startseq  kid skateboards down railings of large set of stairs endseq
3542,startseq  dog carries stick in its mouth endseq
3543,startseq  man controlling dog sled approaches another dog sled team in narrow snowy passageway between two sets of trees endseq
3544,startseq  few men sprint across the grass in competition with one another endseq
3545,startseq  person on bike jumping over bench in the park endseq
3546,startseq  man and boy watch dog leap to catch ball endseq
3547,startseq  girl riding scooter near the beach endseq
3548,startseq  boy in football gear running with the football endseq
3549,startseq  human figure runs past flower stand endseq
3550,startseq  snowboarder is doing flip over mound of snow endseq
3551,startseq  crowd of people in colorful dresses endseq
3552,startseq  brown dog is in grassy field twisting itself around to see underneath itself endseq
3553,startseq  kids playing on the rocks with steamboat in the background endseq
3554,startseq  child playing in some leaves endseq
3555,startseq  the boys draw in the sand with sticks endseq
3556,startseq  large wild cat is pursuing horse across meadow endseq
3557,startseq  football player in gold helmet is running with football endseq
3558,startseq  boy does skateboard trick endseq
3559,startseq  boy does skateboard jump at skateboard park endseq
3560,startseq  group of guys play instruments outside endseq
3561,startseq  brown dog is licking its nose endseq
3562,startseq  young boys one boy is hitting another boy while the third boy smiles in the background endseq
3563,startseq  man is performing jump on his snowboard endseq
3564,startseq  soccer player in red runs in front of one in blue endseq
3565,startseq  man dressed as batman running in race endseq
3566,startseq  female kicking soccer ball while in front of soccer goal endseq
3567,startseq  bicycler jumping over barrier with his bike endseq
3568,startseq  hockey player in red untangles from player in white as he goes for the puck endseq
3569,startseq  boy turning somersault in his yard endseq
3570,startseq  group of people surf on very large wave endseq
3571,startseq  brown dog standing on beach next to blue frisbee endseq
3572,startseq  little girl swings woman stands behind her endseq
3573,startseq  blonde girl in black cape stands with other children in costumes endseq
3574,startseq  muzzled white dogs running endseq
3575,startseq  man playing guitar sings into microphone endseq
3576,startseq  few different small cars racing around track in the rain endseq
3577,startseq  boy wearing orange jumps from haystacks endseq
3578,startseq  man in blue bodysuit surfing endseq
3579,startseq  boy jumps on another boy endseq
3580,startseq  man surfing wave endseq
3581,startseq  girl in bathing suit rides swing endseq
3582,startseq  boy makes jump with dirt bike with the sun setting behind him endseq
3583,startseq  climber scales rock wall endseq
3584,startseq  dog jumps through hoop endseq
3585,startseq  dog rolls on his back in the grass as two other dogs look on endseq
3586,startseq  crowd waits outside subway train ready to board endseq
3587,startseq  man is doing jump on bicycle in an indoor skate and bike center endseq
3588,startseq  dog runs across the grass endseq
3589,startseq  football player folding football during game in the mud endseq
3590,startseq  surfer on blue surfboard is falling off of it as he hits wave endseq
3591,startseq  middle aged woman in stylish clothes holding camera endseq
3592,startseq  man doing back flip off box endseq
3593,startseq  bearded man on train endseq
3594,startseq  boy and dog running on grass endseq
3595,startseq  two dirt bike riders in midair endseq
3596,startseq  group of bicyclists racing endseq
3597,startseq  brown dog is carrying stick too big for him over grass endseq
3598,startseq  woman holding purse stands at the edge of rocky ledge and looks out at the trees endseq
3599,startseq  man in white sports uniform tries to fend off another player in black and yellow uniform while the ball floats in midair endseq
3600,startseq  baseball player argues with the catcher endseq
3601,startseq  boy in creek throwing rock endseq
3602,startseq  group of people are walking in single file at an exhibit endseq
3603,startseq  clown with big hat riding bicycle endseq
3604,startseq  child sliding down orange slide endseq
3605,startseq  man in red soccer uniform getting ready to kick the ball endseq
3606,startseq  black dog and goose swim in the water endseq
3607,startseq  boy jumps through the air onto something red endseq
3608,startseq  dirt bike rider catches some air going off large hill endseq
3609,startseq  boy is doing stunt with his skateboard endseq
3610,startseq  child dressed in purple and an adult dressed in black endseq
3611,startseq  girl doing kick near woman endseq
3612,startseq  man with skateboard performs trick endseq
3613,startseq  boy in blue in trees endseq
3614,startseq  girl in pink shirt tries to dump bucket of water on another girl endseq
3615,startseq  group of people dressed as zombies endseq
3616,startseq  girl dressed in red dress and another girl dressed as pirate are playing around endseq
3617,startseq  man in uniform costume stands next to man in horro costume endseq
3618,startseq  bicyclist is jumping horizontal wooden structure with countryside in front of him endseq
3619,startseq  guy in green is rollerskating on narrow strip endseq
3620,startseq  two boys fight for the ball endseq
3621,startseq  boy visits amish community endseq
3622,startseq  man is wearing black mask and black clothing in social setting endseq
3623,startseq  miami basketball player endseq
3624,startseq  basketball player looks for someone to pass the ball to endseq
3625,startseq  basketball player in orange has the ball while another in blue tries to block him endseq
3626,startseq  white ad brown dog is running on grass endseq
3627,startseq  basketball player wearing an orange uniform looks backwards endseq
3628,startseq  man in miami basketball uniform looking to the right endseq
3629,startseq  man asleep on the ground at subway station holding camera tripod endseq
3630,startseq  dog can be seen from the inside of car as it crosses the road endseq
3631,startseq  closeup of man that is rock climbing endseq
3632,startseq  baseball player swinging bat endseq
3633,startseq  group of young men sit on rock and look in the distance endseq
3634,startseq  redheaded woman looks behind her in european courtyard endseq
3635,startseq  man in an orange shirt and blue helmet races his bike endseq
3636,startseq  men on horses displaying their flags at joust endseq
3637,startseq  man in yellow slicker holds sign saying down and out endseq
3638,startseq  man in blue coat walks small white animal as buss passes in the background endseq
3639,startseq  group of army members aim their guns endseq
3640,startseq  group of cyclists race uphill on foot with their bikes on their shoulders endseq
3641,startseq  girl in an orange shirt lights candles endseq
3642,startseq  brown dog is laying in the snow endseq
3643,startseq  two dogs jumping on one another on grassy area covered in leaves endseq
3644,startseq  band member jumps in the air endseq
3645,startseq  boy in blue wetsuit is riding surfboard endseq
3646,startseq  black and white dog carries ball toy endseq
3647,startseq  man in white shirt and jeans playing an accordion endseq
3648,startseq  man and dog walk down cement steps while woman in headscarf looks on from seated position on the bottom step endseq
3649,startseq  man plays song on the guitar for his cat endseq
3650,startseq  group of girls stands wearing jean skirts and superman shirts endseq
3651,startseq  brown and white dog licking its chops while sitting in green room with tile floor endseq
3652,startseq  boy and girl dancing endseq
3653,startseq  group of children are sitting on raft wearing blue helmets and carrying paddles endseq
3654,startseq  man gets lots of air time as he wakeboards endseq
3655,startseq  smiling woman with red lips wearing white sweater and black hat is waving endseq
3656,startseq  dog corners little girl next to police cruiser endseq
3657,startseq  brown dog playing outside with pink ball endseq
3658,startseq  group of people making excited expressions with their hands endseq
3659,startseq  man in cast uses camcorder while another man watches him endseq
3660,startseq  man has bleached tips in his afro style hair and is on cellphone endseq
3661,startseq  blonde haired girl in an obama tshirt is smiling at the camera endseq
3662,startseq  group of girls in cheerleader clothing tosses another girl into the air with an athletic field in the background endseq
3663,startseq  black and white dog looking up endseq
3664,startseq  four guys playing soccer on the pavement endseq
3665,startseq  man in black sweatshirt holds up an obama sign endseq
3666,startseq  three democrat supporters hold signs for an election endseq
3667,startseq  black man is wearing brown shirt and necklace endseq
3668,startseq  black and brown dog chewing on stick endseq
3669,startseq  woman in skirt walks down path endseq
3670,startseq  city square with large red wall and people walking about endseq
3671,startseq  cop stands in front of car on busy street endseq
3672,startseq  closeup of man shooting handgun into the woods endseq
3673,startseq  large woman sits in port john endseq
3674,startseq  man talking on cellphone is holding blue banner endseq
3675,startseq  man wearing barack obama shirt smiles for the camera endseq
3676,startseq  couple of men in hats posing for picture by gas station endseq
3677,startseq  car sponsored by riwal is smoking its tires on wet road endseq
3678,startseq  man is raising his hand in the air and has tshirt with the united states on it endseq
3679,startseq  boy and girl bounce on trampoline nearby playground and area of foliage endseq
3680,startseq  group of brides in white gowns hold red flowers on the side of street endseq
3681,startseq  black dog leaps from the bank into body of water with field of dry grass in the background endseq
3682,startseq  girl in swimming pool playing badminton while lady watches endseq
3683,startseq  boy in black is jumping endseq
3684,startseq  boy in stripy shirt is playing with soccer ball in grassy park in front of some bushes endseq
3685,startseq  black man and large golden dog are on the beach endseq
3686,startseq  man is bungee jumping from platform whilst being watched by someone above him endseq
3687,startseq  closeup photo of small dog with holey ball in his mouth endseq
3688,startseq  man performs ski jump in the snow endseq
3689,startseq  an atv racer blasts down the track sending dirt flying everywhere endseq
3690,startseq  three boys in orange shorts are walking on the rocks beside woodland stream endseq
3691,startseq  group of dogs pulling sled through the snow endseq
3692,startseq  man in yellow standing between two waterfalls endseq
3693,startseq  black and white dog on an orange leash jumps in field endseq
3694,startseq  swan unfurling his wings over the water with second swan in the background endseq
3695,startseq  bunch of people sit in their jeeps on dirt road endseq
3696,startseq  runner heading toward base while the baseman tries to tag him out endseq
3697,startseq  man in flower patterned shirt is bowling endseq
3698,startseq  blond girl with poster poses with black haired girl endseq
3699,startseq  man and women in dark clothing endseq
3700,startseq  boy wearing full riding gear is riding his bike down paved road endseq
3701,startseq  dog runs down footbride in the fall endseq
3702,startseq  girl holds blowup tiger while another girl is in costume endseq
3703,startseq  man leaping into the air with mountain vista behind him endseq
3704,startseq  movers getting furniture through window on the second floor and amused passers by endseq
3705,startseq  group of young men wrestle with each other wielding floppy toy sword endseq
3706,startseq  the man wears white hat and poses with blonde woman and black haired woman endseq
3707,startseq  couple hug each other while holding toy tiger endseq
3708,startseq  boy and girl are dressed in colorful costumes endseq
3709,startseq  blond lady and an asian guy have blood stains on their face and neck endseq
3710,startseq  group of three people walking together endseq
3711,startseq  black and brown dog playing in the water at beach endseq
3712,startseq  two girls are fighting over ball during game endseq
